parameter,value,unit,source,treatment
A,25,cm2,题面与附件1,串联电荷量只计一次；面积只用于总量换算
j_max,0.5,A/cm2,问题2,全程硬约束
q_max,20,C/cm2,问题2,未成功即预算耗尽为失败
V_min,0.3,V,问题2与MD 2.7,全程每片路径约束
ice_max,0.99,1,问题2,总体积基准，不是孔隙冰饱和度
j0_ref,0.10255839004732065,A/m2,已有calibration_bp.json,继承含双极板版本，-20校准、-25留出
k_freeze,1,1/s,附件权重1与原问题1闭合,参考时间1s；孔隙冻结扩展为假设
k_melt,1,1/s,附件权重1与原问题1闭合,参考时间1s；孔隙融化扩展为假设
k_cond/k_evap,1,1/s,附件无量纲权重1,除以假定参考时间1s
k_dep/k_sub,0.0001,1/s,附件权重1e-4与原问题1闭合,升华沿用反向对称闭合
lambda_nf,3,1,原问题1闭合,膜不可冻结水阈值，非独立测量
L_BP,0.002,m,附件1,完整共享板与终端流场板均采用2 mm厚度
plate_positions,6,1,五MEA拓扑,四块内部共享BP+两块外侧终端流场板
C_BP_single,3033.36,J/m2/K,0.002*1980*766,一块完整板的面热容
C_BP_end_node,4550.04,J/m2/K,1.5*3033.36,端节点：一块终端板+半块内部共享板
C_BP_middle_node,3033.36,J/m2/K,2*0.5*3033.36,中间节点：左右各半块内部共享板
C_BP_stack_total,18200.16,J/m2/K,6*3033.36,总板热容守恒，不重复计数
cell_pitch,0.0023267,m,L_MEA+L_BP,MEA中心间几何节距
C_EP,39500,J/m2/K,0.01*7900*500,每端单独温度节点
h,40,W/m2/K,题面与MD式2-17,主计算置于端部单片，外端板对流为敏感性
beta_end,10,1,附件1,只放大浓差项且回馈电化学产热
beta_middle,1,1,附件1,中间3片
ramp_min_plateau_time,0.2,s,数值搜索约定，非题给硬件限制,另算0.1/0.05/0.02/0.01s考察无限斜率极限
time_horizon,600,s,数值搜索上限,超时只称搜索范围内未成功
grid_scale,8,1,数值选择,单片232水/气/冰网格；七温度节点
time_step,0.003125,s,数值选择,加密复核至0.0015625s与464空间单元
