figure,title,source_csv,png_dpi,png,svg
图01_预冷温度场族,预冷温度场族与空间温差细节,precooling_fields.csv,300,图01_预冷温度场族.png,图01_预冷温度场族.svg
图02_预冷均温与温差,预冷均温及不同口径温差,precooling_nodes.csv,300,图02_预冷均温与温差.png,图02_预冷均温与温差.svg
图03_三工况初始温度,三种工况的七节点初始温度（各子图独立纵轴）,initial_temperature_cases.csv,300,图03_三工况初始温度.png,图03_三工况初始温度.svg
图04_case1_动态控制轨迹,工况1：完全冷却动态控制轨迹,trajectory_case1_dynamic.csv;trajectory_case1_constant_hold.csv,300,图04_case1_动态控制轨迹.png,图04_case1_动态控制轨迹.svg
图05_case2_动态控制轨迹,工况2：预冷20 min动态控制轨迹,trajectory_case2_dynamic.csv;trajectory_case2_constant_hold.csv,300,图05_case2_动态控制轨迹.png,图05_case2_动态控制轨迹.svg
图06_case3_动态控制轨迹,工况3：预冷40 min动态控制轨迹,trajectory_case3_dynamic.csv;trajectory_case3_constant_hold.csv,300,图06_case3_动态控制轨迹.png,图06_case3_动态控制轨迹.svg
图07_三工况主指标比较,动态与恒功率在统一保持窗口下的比较,main_results.csv,300,图07_三工况主指标比较.png,图07_三工况主指标比较.svg
图08_预冷时间扫描,固定恒功率策略随预冷时间的变化,constant_scan.csv,300,图08_预冷时间扫描.png,图08_预冷时间扫描.svg
图09_能量收支与累积能耗,离散能量闭合与动态累计电能,main_results.csv;trajectory_case1_dynamic.csv;trajectory_case2_dynamic.csv;trajectory_case3_dynamic.csv,300,图09_能量收支与累积能耗.png,图09_能量收支与累积能耗.svg
图10_网格步长与控制周期检验,预冷与启动阶段的数值收敛检验,precooling_convergence.csv;startup_convergence.csv;coupled_convergence.csv,300,图10_网格步长与控制周期检验.png,图10_网格步长与控制周期检验.svg
图11_物理参数与控制器敏感性,预冷传热参数与启动控制参数敏感性,precooling_sensitivity.csv;sensitivity.csv,300,图11_物理参数与控制器敏感性.png,图11_物理参数与控制器敏感性.svg
图12_测量噪声与初场扰动,测量噪声和初场偏差下的能耗与安全约束,robustness.csv,300,图12_测量噪声与初场扰动.png,图12_测量噪声与初场扰动.svg
图13_名义与留裕度备选,名义策略与留裕度备选的能耗、时间、扰动可行比例及关热后温度,main_results.csv;guarded_results.csv;robustness.csv;guarded_robustness.csv,300,图13_名义与留裕度备选.png,图13_名义与留裕度备选.svg
