check,value,tolerance,passed
constant_analytic_charge,0.0,1e-09,True
constant_summary_voltage_extremum,0.0,1e-09,True
constant_summary_ice_extremum,0.0,1e-09,True
constant_voltage_path_violation,0.0,1e-10,True
constant_terminal_temperature_violation,0.0,1e-12,True
constant_budget_violation,0.0,1e-10,True
constant_terminal_time_match,0.0,1e-09,True
constant_five_cell_export_symmetry,0.0,1e-12,True
ramp_analytic_charge,0.0,1e-09,True
ramp_summary_voltage_extremum,0.0,1e-09,True
ramp_summary_ice_extremum,0.0,1e-09,True
ramp_voltage_path_violation,0.0,1e-10,True
ramp_terminal_temperature_violation,0.0,1e-12,True
ramp_budget_violation,0.0,1e-10,True
ramp_terminal_time_match,0.0,1e-09,True
ramp_five_cell_export_symmetry,0.0,1e-12,True
step_analytic_charge,0.0,1e-09,True
step_summary_voltage_extremum,0.0,1e-09,True
step_summary_ice_extremum,0.0,1e-09,True
step_voltage_path_violation,0.0,1e-10,True
step_terminal_temperature_violation,0.0,1e-12,True
step_budget_violation,0.0,1e-10,True
step_terminal_time_match,0.0,1e-09,True
step_five_cell_export_symmetry,0.0,1e-12,True
critical_success_status,0.0,0,True
critical_failure_status,0.0,0,True
finest_check_-12.8076171875_bracket_confirm,0.0,0,True
finest_check_-12.802734375_bracket_confirm,0.0,0,True
